lead_id,country,type,stage,stage_order,won,is_closed
93,Pakistan,Government,outreach,1,0,0
94,Pakistan,Government,outreach,1,0,0
95,Pakistan,Government,engagement,2,0,0
96,Pakistan,Government,engagement,2,0,0
97,Pakistan,Government,outreach,1,0,0
98,Pakistan,Government,outreach,1,0,0
99,Pakistan,Government,outreach,1,0,0
100,Pakistan,Government,outreach,1,0,0
101,Pakistan,Government,outreach,1,0,0
102,Pakistan,Government,outreach,1,0,0
103,Oman,Government,meeting,3,0,0
104,Morocco,Government,engagement,2,0,0
105,Morocco,Government,engagement,2,0,0
106,Montenegro,Government,engagement,2,0,0
107,Montenegro,Government,outreach,1,0,0
108,Montenegro,Government,engagement,2,0,0
109,Moldova,Government,outreach,1,0,0
110,Moldova,Government,engagement,2,0,0
111,Moldova,Government,engagement,2,0,0
112,Malaysia,Government,meeting,3,0,0
113,Malaysia,Government,proposal,4,0,0
114,Malaysia,Government,engagement,2,0,0
115,Malaysia,Government,outreach,1,0,0
116,Malaysia,Government,meeting,3,0,0
117,Malaysia,Government,outreach,1,0,0
118,Malawi,Government,outreach,1,0,0
119,Lebanon,Government,outreach,1,0,0
120,Lebanon,Government,outreach,1,0,0
121,Lebanon,Government,outreach,1,0,0
122,Lebanon,Government,outreach,1,0,0
123,Lebanon,Government,engagement,2,0,0
124,Lebanon,Government,outreach,1,0,0
125,Lebanon,Government,meeting,3,0,0
126,Kyrgyzstan,Government,outreach,1,0,0
127,Kuwait,Government,outreach,1,0,0
128,Kuwait,Government,outreach,1,0,0
129,Kuwait,Government,outreach,1,0,0
130,Kuwait,Government,outreach,1,0,0
131,South Korea,Government,outreach,1,0,0
132,South Korea,Government,outreach,1,0,0
133,South Korea,Government,outreach,1,0,0
134,South Korea,Government,outreach,1,0,0
135,South Korea,Government,outreach,1,0,0
136,South Korea,Government,outreach,1,0,0
137,South Korea,Government,outreach,1,0,0
138,South Korea,Government,outreach,1,0,0
139,South Korea,Government,outreach,1,0,0
